Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2179s,UT,UTSA,00:36:19,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2231s,UT,UTSA,00:37:11,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2231s,UT,UTSA,00:37:11,UTSA,UT,Possession Change,TRUE,Goal Scored,,1,2,,,,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2240s,UT,UTSA,00:37:20,UTSA,UT,Goal Scored,TRUE,,,2,0,,Dunk,,None,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2248s,UT,UTSA,00:37:28,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2284s,UT,UTSA,00:38:04,UT,UTSA,Goal Scored,,,,2,0,99,Dunk,Top,1 UTSA hoops chaser,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2289s,UT,UTSA,00:38:09,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2438s,UT,UTSA,00:40:38,UTSA,UT,Possession Change,,Goal Scored,,1,1,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania",N. Salinas,G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2449s,UT,UTSA,00:40:49,,,Intermission,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2674s,UT,UTSA,00:44:34,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2693s,UT,UTSA,00:44:53,UT,UTSA,Possession Change,,Ballcarrier Beat,,1,1,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania",N. Salinas,G. Floyd,,,,,N. Salinas
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2729s,UT,UTSA,00:45:29,UT,UTSA,Goal Scored,,,,1,2,71,Dunk,Medium,1 UTSA hoops chaser,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania",N. Salinas,G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2731s,UT,UTSA,00:45:31,UTSA,UT,Possession Change,,Goal Scored,,1,2,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania","N. Salinas, S. Pemberton",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2753s,UT,UTSA,00:45:53,UTSA,UT,Goal Scored,,,,1,1,14,Dunk,Medium,Y. Singhania,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania","N. Salinas, S. Pemberton",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2754s,UT,UTSA,00:45:54,UT,UTSA,Possession Change,TRUE,Goal Scored,,2,1,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2762s,UT,UTSA,00:46:02,UT,UTSA,Goal Scored,TRUE,,,2,1,54,Dunk,Small,None,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2768s,UT,UTSA,00:46:08,UTSA,UT,Possession Change,,Goal Scored,,1,2,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2794s,UT,UTSA,00:46:34,UT,UTSA,Possession Change,,Unsure,,2,1,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2819s,UT,UTSA,00:46:59,,,Stoppage,,,,,,,,,,,,"Yellow, UTSA 9",,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3058s,UT,UTSA,00:50:58,UTSA,UT,Possession Change,,Ballcarrier Beat,I. Sueltenfuss threw ball away,1,2,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,I. Sueltenfuss,J. Tijerina
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3080s,UT,UTSA,00:51:20,UT,UTSA,Possession Change,,Block (I. Sueltenfuss),,1,2,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3100s,UT,UTSA,00:51:40,UT,UTSA,Goal Scored,,,,1,0,54,Dunk,Medium,None,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3108s,UT,UTSA,00:51:48,UTSA,UT,Possession Change,,Goal Scored,,2,1,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3148s,UT,UTSA,00:52:28,UT,UTSA,Possession Change,,Missed Shot,,1,2,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3166s,UT,UTSA,00:52:46,UTSA,UT,Possession Change,,Tackle,P. Mosqueda tackled,2,1,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3177s,UT,UTSA,00:52:57,UT,UTSA,Possession Change,,Block (A. Hewitt),,1,2,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3200s,UT,UTSA,00:53:20,,,Stoppage,,,,,,,,,,,,"Yellow, UTSA 9",,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3268s,UT,UTSA,00:54:28,,,Card,,,,,,,,,,,,"Yellow-Red, UTSA 9",,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3307s,UT,UTSA,00:55:07,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3315s,UT,UTSA,00:55:15,UT,UTSA,Goal Scored,,,,2,1,54,Dunk,Small,None,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3321s,UT,UTSA,00:55:21,UTSA,UT,Possession Change,,Goal Scored,,2,1,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3333s,UT,UTSA,00:55:33,UTSA,UT,Goal Scored,,,,2,0,14,Dunk,Medium,A. Hewitt,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3351s,UT,UTSA,00:55:51,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3368s,UT,UTSA,00:56:08,UTSA,UT,Possession Change,,Bad Pass,Bad pass from K. Velazquez,1,2,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3391s,UT,UTSA,00:56:31,UTSA,UT,Goal Scored,,,,1,1,14,Shot,Top,I. Sueltenfuss,Far,Front,,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3398s,UT,UTSA,00:56:38,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","N. Salinas, C. Milne",G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3416s,UT,UTSA,00:56:56,UTSA,UT,Possession Change,,Ballcarrier Beat,I. Sueltenfuss should have passed,2,1,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","T. Shearin, C. Milne",G. Floyd,I. Sueltenfuss,J. Tijerina
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3422s,UT,UTSA,00:57:02,UT,,Flag Pull,,,,1,2,,,,,,,,,,G. Floyd,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3424s,UT,UTSA,00:57:04,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3478s,UT,UTSA,00:57:58,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3493s,UT,UTSA,00:58:13,UT,UTSA,Possession Change,,Missed Shot,,2,1,,,,A. Hewitt,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3515s,UT,UTSA,00:58:35,UTSA,UT,Possession Change,TRUE,Missed Shot,Missed shot from D. Dao,1,1,,Shot,Top,,,,,,,,"I. Sueltenfuss, A. Hewitt, D. Dao, K. Velazquez","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3529s,UT,UTSA,00:58:49,UT,UTSA,Possession Change,,Bad Pass,,1,2,,,,,,,,"I. Sueltenfuss, N. Salinas, D. Dao, K. Velazquez","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3562s,UT,UTSA,00:59:22,UTSA,UT,Possession Change,,Bad Pass,Bad pass from D. Dao,2,1,,,,,,,,,,,"I. Sueltenfuss, N. Salinas, D. Dao, K. Velazquez","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3587s,UT,UTSA,00:59:47,UT,UTSA,Possession Change,,Missed Shot,,1,2,,,,I. Sueltenfuss,,,,"I. Sueltenfuss, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3618s,UT,UTSA,01:00:18,UTSA,UT,Possession Change,TRUE,Ballcarrier Beat,"Bad pass from N. Salinas, Y. Singhania",2,1,,,,,,,,,,,"I. Sueltenfuss, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",,N. Salinas,J. Tijerina
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3624s,UT,UTSA,01:00:24,UTSA,UT,Goal Scored,TRUE,,,2,0,,,,None,,,,,,,"I. Sueltenfuss, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3629s,UT,UTSA,01:00:29,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"G. Floyd, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3705s,UT,UTSA,01:01:45,UTSA,UT,Possession Change,,Missed Shot,Missed shot from Y. Singhania,1,2,,,,,,,,,,,"G. Floyd, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3716s,UT,UTSA,01:01:56,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3758s,UT,UTSA,01:02:38,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3761s,UT,UTSA,01:02:41,UT,UTSA,Possession Change,,Bad Pass,,2,1,,,,,,,,"G. Floyd, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3799s,UT,UTSA,01:03:19,UTSA,UT,Possession Change,,Ballcarrier Beat,Y. Singhania throws ball away,2,0,,,,,,,,,,,"G. Floyd, N. Salinas, D. Dao, Y. Singhania","T. Shearin, C. Milne",Y. Singhania,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3815s,UT,UTSA,01:03:35,UT,UTSA,Possession Change,,Missed Shot,,1,2,,,,,,,,"P. Mosqueda, A. Hewitt, G. Floyd, Y. Singhania","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3852s,UT,UTSA,01:04:12,UTSA,UT,Possession Change,TRUE,Bad Pass,Bad pass from Y. Singhania,2,0,,,,,,,,,,,"P. Mosqueda, A. Hewitt, G. Floyd, Y. Singhania","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3862s,UT,UTSA,01:04:22,UTSA,UT,Goal Scored,TRUE,,,1,0,,,,None,,,,,,,"P. Mosqueda, A. Hewitt, G. Floyd, Y. Singhania","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3866s,UT,UTSA,01:04:26,UT,UTSA,Possession Change,,Goal Scored,,0,2,,,,,,,,"P. Mosqueda, A. Hewitt, G. Floyd, Y. Singhania","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3890s,UT,UTSA,01:04:50,UTSA,UT,Possession Change,TRUE,Bad Pass,Bad pass from P. Mosqueda,2,0,,,,,,,,,,,"P. Mosqueda, A. Hewitt, G. Floyd, Y. Singhania","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3896s,UT,UTSA,01:04:56,UTSA,UT,Goal Scored,TRUE,,,2,0,14,Dunk,Medium,None,,,,,,,"P. Mosqueda, A. Hewitt, G. Floyd, Y. Singhania","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=3901s,UT,UTSA,01:05:01,,,Game End,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=0s,,,,,,,,,,,,,,,,,,,,,,,,,,